Código ,Descripción
G54.0,Trastornos del plexo braquial
G54.1,Trastornos del plexo lumbosacro
G54.2,"Trastornos de la raíz cervical, no clasificados en otra parte"
G54.3,"Trastornos de la raíz torácica, no clasificados en otra parte"
G54.4,"Trastornos de la raíz lumbosacra, no clasificados en otra parte"
G54.5,Amiotrofia neurálgica
G54.6,Síndrome del miembro fantasma con dolor
G54.7,Síndrome del miembro fantasma sin dolor
G54.8,Otros trastornos de las raíces y plexos nerviosos
G54.9,"Trastorno de la raíz y plexos nerviosos, no especificado"
G56.0,Síndrome del túnel carpiano
G56.1,Otras lesiones del nervio mediano
G56.2,Lesión del nervio cubital
G56.3,Lesión del nervio radial
G56.4,Causalgia
G56.8,Otras mononeuropatías del miembro superior
G56.9,"Mononeuropatía del miembro superior, sin otra especificación"
G57.0,Lesión del nervio ciático
G57.1,Meralgia parestésica
G57.2,Lesión del nervio crural
G57.3,Lesión del nervio ciático poplíteo externo
G57.4,Lesión del nervio ciático poplíteo interno
G57.5,Síndrome del túnel calcáneo
G57.6,Lesión del nervio plantar
G57.8,Otras mononeuropatías del miembro inferior
G57.9,"Mononeuropatía del miembro inferior, sin otra especificación"
S01.7,Heridas múltiples de la cabeza
S01.8,Herida de otras partes de la cabeza
S01.9,"Herida de la cabeza, parte no especificada"
S04.0,Traumatismo del nervio óptico [II par] y de las vías ópticas
S04.1,Traumatismo del nervio motor ocular común [III par]
S04.2,Traumatismo del nervio patético [IV par]
S04.3,Traumatismo del nervio trigémino [V par]
S04.4,Traumatismo del nervio motor ocular externo [VI par]
S04.5,Traumatismo del nervio facial [VII par]
S04.6,Traumatismo del nervio acústico [VIII par]
S04.7,Traumatismo del nervio espinal [XI par]
S04.8,Traumatismo de otros nervios craneales
S04.9,"Traumatismo de nervios craneales, no especificado"
S06.0,Concusión
S06.1,Edema cerebral traumático
S06.2,Traumatismo cerebral difuso
S06.3,Traumatismo cerebral focal
S06.4,Hemorragia epidural
S06.5,Hemorragia subdural traumática
S06.6,Hemorragia subaracnoidea traumática
S06.7,Traumatismo intracraneal con coma prolongado
S06.8,Otros traumatismos intracraneales
S06.9,"Traumatismo intracraneal, no especificado"
S07.0,Traumatismo por aplastamiento de la cara
S07.1,Traumatismo por aplastamiento del cráneo
S07.8,Traumatismo por aplastamiento de otras partes de la cabeza
S07.9,"Traumatismo por aplastamiento de la cabeza, parte no especificada"
S08.8,Amputación traumática de otras partes de la cabeza
S08.9,Amputación traumática de parte no especificada de la cabeza
S09.0,Traumatismo de los vasos sanguíneos de la cabeza no clasificados en otra parte
S09.7,Traumatismos múltiples de la cabeza
S09.8,"Otros traumatismos de la cabeza, especificados"
S09.9,"Traumatismo de la cabeza, no especificado"
S11.7,Heridas múltiples del cuello
S11.8,Heridas de otras partes del cuello
S11.9,"Herida de cuello, parte no especificada"
S12.0,Fractura de la primera vértebra cervical
S12.1,Fractura de la segunda vértebra cervical
S12.2,Fractura de otras vértebras cervicales especificadas
S12.7,Fracturas múltiples de columna cervical
S12.8,Fractura de otras partes del cuello
S12.9,"Fractura del cuello, parte no especificada"
S13.0,Ruptura traumática de disco cervical intervertebral
S13.1,Luxación de vértebra cervical
S13.2,Luxaciones de otras partes y de las no especificadas del cuello
S13.3,Luxaciones múltiples del cuello
S14.0,Concusión y edema de la médula espinal cervical
S14.1,Otros traumatismos de la médula espinal cervical y los no especificados
S14.2,Traumatismo de raíz nerviosa de columna cervical
S14.3,Traumatismo del plexo braquial
S14.4,Traumatismo de nervios periféricos del cuello
