code,description,procedure_type_id
"01","Anti-Infective Agents",
"01","*PENICILLINS*",
"0110","*Natural Penicillins**",
"011000","*Natural Penicillins***",
"01100010","Penicillin G",
"0110001010","Penicillin G Potassium",
"011000101021","Penicillin G Potassium Reconstituted Solution",
"01100010102125","Penicillin G Potassium For Inj 5000000 Unit",21
"01100010102135","Penicillin G Potassium For Inj 20000000 Unit",21
"0110001011","Penicillin G Pot in Dextrose",
"011000101120","Penicillin G Pot in Dextrose Solution",
"01100010112050","Penicillin G Potassium Inj 20000 Unit/ML in Dextrose",21
"01100010112060","Penicillin G Potassium Inj 40000 Unit/ML in Dextrose",21
"01100010112070","Penicillin G Potassium Inj 60000 Unit/ML in Dextrose",21
"0110001020","Penicillin G Sodium",
"011000102021","Penicillin G Sodium Reconstituted Solution",
"01100010202105","Penicillin G Sodium For Inj 5000000 Unit",21
"01100020","Penicillin G Benzathine",
"0110002000","Penicillin G Benzathine",
"011000200018","Penicillin G Benzathine Suspension",
"01100020001810","Penicillin G Benzathine Intramuscular Susp 600000 Unit/ML",21
"01100020001815","Penicillin G Benzathine Intramuscular Susp 1200000 Unit/2ML",21
"01100020001820","Penicillin G Benzathine Intramuscular Susp 2400000 Unit/4ML",21
"01100030","Penicillin G Procaine",
"0110003000","Penicillin G Procaine",
"011000300018","Penicillin G Procaine Suspension",
"01100030001820","Penicillin G Procaine Intramuscular Susp 600000 Unit/ML",21
"01100040","Penicillin V",
"0110004010","Penicillin V Potassium",
"011000401003","Penicillin V Potassium Tablet",
"01100040100310","Penicillin V Potassium Tab 250 MG",21
"01100040100315","Penicillin V Potassium Tab 500 MG",21
"011000401021","Penicillin V Potassium Reconstituted Solution",
"01100040102105","Penicillin V Potassium For Soln 125 MG/5ML",21
"01100040102110","Penicillin V Potassium For Soln 250 MG/5ML",21
"0120","*Aminopenicillins**",
"012000","*Aminopenicillins***",
"01200010","Amoxicillin",
"0120001010","Amoxicillin",
"012000101001","Amoxicillin Capsule",
"01200010100105","Amoxicillin (Trihydrate) Cap 250 MG",21
"01200010100110","Amoxicillin (Trihydrate) Cap 500 MG",21
"012000101003","Amoxicillin Tablet",
"01200010100303","Amoxicillin (Trihydrate) Tab 500 MG",21
"01200010100315","Amoxicillin (Trihydrate) Tab 875 MG",21
"012000101005","Amoxicillin Chewable Tablet",
"01200010100505","Amoxicillin (Trihydrate) Chew Tab 125 MG",21
"01200010100510","Amoxicillin (Trihydrate) Chew Tab 250 MG",21
"012000101019","Amoxicillin Reconstituted Suspension",
"01200010101910","Amoxicillin (Trihydrate) For Susp 125 MG/5ML",21
"01200010101913","Amoxicillin (Trihydrate) For Susp 200 MG/5ML",21
"01200010101915","Amoxicillin (Trihydrate) For Susp 250 MG/5ML",21
"01200010101924","Amoxicillin (Trihydrate) For Susp 400 MG/5ML",21
"012000101029","Amoxicillin Powder",
"01200010102900","Amoxicillin (Trihydrate) Powder",21
"012000101075","Amoxicillin Tablet Extended Release 24 Hour",
"01200010107520","Amoxicillin (Trihydrate) Tab ER 24HR 775 MG",21
"01200020","Ampicillin",
"0120002020","Ampicillin",
"012000202001","Ampicillin Capsule",
"01200020200105","Ampicillin Cap 250 MG",21
"01200020200110","Ampicillin Cap 500 MG",21
"012000202019","Ampicillin Reconstituted Suspension",
"01200020201910","Ampicillin For Susp 125 MG/5ML",21
"01200020201915","Ampicillin For Susp 250 MG/5ML",21
"0120002030","Ampicillin Sodium",
"012000203021","Ampicillin Sodium Reconstituted Solution",
"01200020302105","Ampicillin Sodium For Inj 125 MG",21
"01200020302110","Ampicillin Sodium For Inj 250 MG",21
