code,description,procedure_type_id
"100","ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY",1
"102","ANESTHESIA FOR PROCEDURES INVOLVING PLASTIC REPAIR OF CLEFT LIP",1
"103","ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)",1
"104","ANESTHESIA FOR ELECTROCONVULSIVE THERAPY",1
"120","ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY; NOT OTHERWISE SPECIFIED",1
"124","ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY; OTOSCOPY",1
"126","ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY; TYMPANOTOMY",1
"140","ANESTHESIA FOR PROCEDURES ON EYE; NOT OTHERWISE SPECIFIED",1
"142","ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY",1
"144","ANESTHESIA FOR PROCEDURES ON EYE; CORNEAL TRANSPLANT",1
"145","ANESTHESIA FOR PROCEDURES ON EYE; VITREORETINAL SURGERY",1
"147","ANESTHESIA FOR PROCEDURES ON EYE; IRIDECTOMY",1
"148","ANESTHESIA FOR PROCEDURES ON EYE; OPHTHALMOSCOPY",1
"160","ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; NOT OTHERWISE SPECIFIED",1
"162","ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; RADICAL SURGERY",1
"164","ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; BIOPSY, SOFT TISSUE",1
"170","ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; NOT OTHERWISE SPECIFIED",1
"172","ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; REPAIR OF CLEFT PALATE",1
"174","ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; EXCISION OF RETROPHARYNGEAL TUMOR",1
"176","ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; RADICAL SURGERY",1
"190","ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; NOT OTHERWISE SPECIFIED",1
"192","ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; RADICAL SURGERY (INCLUDING PROGNATHISM)",1
"210","ANESTHESIA FOR INTRACRANIAL PROCEDURES; NOT OTHERWISE SPECIFIED",1
"211","ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOTOMY OR CRANIECTOMY FOR EVACUATION OF HEMATOMA",1
"212","ANESTHESIA FOR INTRACRANIAL PROCEDURES; SUBDURAL TAPS",1
"214","ANESTHESIA FOR INTRACRANIAL PROCEDURES; BURR HOLES, INCLUDING VENTRICULOGRAPHY",1
"215","ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)",1
"216","ANESTHESIA FOR INTRACRANIAL PROCEDURES; VASCULAR PROCEDURES",1
"218","ANESTHESIA FOR INTRACRANIAL PROCEDURES; PROCEDURES IN SITTING POSITION",1
"220","ANESTHESIA FOR INTRACRANIAL PROCEDURES; CEREBROSPINAL FLUID SHUNTING PROCEDURES",1
"222","ANESTHESIA FOR INTRACRANIAL PROCEDURES; ELECTROCOAGULATION OF INTRACRANIAL NERVE",1
"300","ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED",1
"320","ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK; NOT OTHERWISE SPECIFIED, AGE 1 YEAR OR OLDER",1
"322","ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK; NEEDLE BIOPSY OF THYROID",1
"326","ANESTHESIA FOR ALL PROCEDURES ON THE LARYNX AND TRACHEA IN CHILDREN YOUNGER THAN 1 YEAR OF AGE",1
"350","ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; NOT OTHERWISE SPECIFIED",1
"352","ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; SIMPLE LIGATION",1
"400","ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; NOT OTHERWISE SPECIFIED",1
"402","ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RECONSTRUCTIVE PROCEDURES ON BREAST (EG, REDUCTION OR AUGMENTATION MAMMOPLASTY, MUSCLE FLAPS)",1
"404","ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST",1
"406","ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST WITH INTERNAL MAMMARY NODE DISSECTION",1
"410","ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; ELECTRICAL CONVERSION OF ARRHYTHMIAS",1
"450","ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; NOT OTHERWISE SPECIFIED",1
"454","ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; BIOPSY OF CLAVICLE",1
"470","ANESTHESIA FOR PARTIAL RIB RESECTION; NOT OTHERWISE SPECIFIED",1
"472","ANESTHESIA FOR PARTIAL RIB RESECTION; THORACOPLASTY (ANY TYPE)",1
"474","ANESTHESIA FOR PARTIAL RIB RESECTION; RADICAL PROCEDURES (EG, PECTUS EXCAVATUM)",1
"500","ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS",1
"520","ANESTHESIA FOR CLOSED CHEST PROCEDURES; (INCLUDING BRONCHOSCOPY) NOT OTHERWISE SPECIFIED",1
"522","ANESTHESIA FOR CLOSED CHEST PROCEDURES; NEEDLE BIOPSY OF PLEURA",1
"524","ANESTHESIA FOR CLOSED CHEST PROCEDURES; PNEUMOCENTESIS",1
"528","ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY NOT UTILIZING 1 LUNG VENTILATION",1
"529","ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY UTILIZING 1 LUNG VENTILATION",1
"530","ANESTHESIA FOR PERMANENT TRANSVENOUS PACEMAKER INSERTION",1
"532","ANESTHESIA FOR ACCESS TO CENTRAL VENOUS CIRCULATION",1
"534","ANESTHESIA FOR TRANSVENOUS INSERTION OR REPLACEMENT OF PACING CARDIOVERTER-DEFIBRILLATOR",1
"537","ANESTHESIA FOR CARDIAC ELECTROPHYSIOLOGIC PROCEDURES INCLUDING RADIOFREQUENCY ABLATION",1
"539","ANESTHESIA FOR TRACHEOBRONCHIAL RECONSTRUCTION",1
"540","ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); NOT OTHERWISE SPECIFIED",1
"541","ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); UTILIZING 1 LUNG VENTILATION",1
"542","ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); DECORTICATION",1
"546","ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); PULMONARY RESECTION WITH THORACOPLASTY",1
"548","ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); INTRATHORACIC PROCEDURES ON THE TRACHEA AND BRONCHI",1
"550","ANESTHESIA FOR STERNAL DEBRIDEMENT",1
"560","ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITHOUT PUMP OXYGENATOR",1
"561","ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR, YOUNGER THAN 1 YEAR OF AGE",1
"562","ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR, AGE 1 YEAR OR OLDER, FOR ALL NONCORONARY BYPASS PROCEDURES (EG, VALVE PROCEDURES) OR FOR RE-OPERATION FOR CORONARY BYPASS MORE THAN 1 MONTH AFTER ORIGINAL OPERATION",1
"563","ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR WITH HYPOTHERMIC CIRCULATORY ARREST",1
"566","ANESTHESIA FOR DIRECT CORONARY ARTERY BYPASS GRAFTING; WITHOUT PUMP OXYGENATOR",1
"567","ANESTHESIA FOR DIRECT CORONARY ARTERY BYPASS GRAFTING; WITH PUMP OXYGENATOR",1
"580","ANESTHESIA FOR HEART TRANSPLANT OR HEART/LUNG TRANSPLANT",1
"600","ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD; NOT OTHERWISE SPECIFIED",1
"604","ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD; PROCEDURES WITH PATIENT IN THE SITTING POSITION",1
"620","ANESTHESIA FOR PROCEDURES ON THORACIC SPINE AND CORD, NOT OTHERWISE SPECIFIED",1
"625","ANESTHESIA FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANTERIOR TRANSTHORACIC APPROACH; NOT UTILIZING 1 LUNG VENTILATION",1
"626","ANESTHESIA FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANTERIOR TRANSTHORACIC APPROACH; UTILIZING 1 LUNG VENTILATION",1
"630","ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; NOT OTHERWISE SPECIFIED",1
"632","ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; LUMBAR SYMPATHECTOMY",1
"635","ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; DIAGNOSTIC OR THERAPEUTIC LUMBAR PUNCTURE",1
"640","ANESTHESIA FOR MANIPULATION OF THE SPINE OR FOR CLOSED PROCEDURES ON THE CERVICAL, THORACIC OR LUMBAR SPINE",1
"670","ANESTHESIA FOR EXTENSIVE SPINE AND SPINAL CORD PROCEDURES (EG, SPINAL INSTRUMENTATION OR VASCULAR PROCEDURES)",1
"700","ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL; NOT OTHERWISE SPECIFIED",1
"702","ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL; PERCUTANEOUS LIVER BIOPSY",1
"730","ANESTHESIA FOR PROCEDURES ON UPPER POSTERIOR ABDOMINAL WALL",1
"731","ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM; NOT OTHERWISE SPECIFIED",1
"732","ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM; ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)",1
"750","ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; NOT OTHERWISE SPECIFIED",1
"752","ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; LUMBAR AND VENTRAL (INCISIONAL) HERNIAS AND/OR WOUND DEHISCENCE",1
"754","ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; OMPHALOCELE",1
"756","ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; TRANSABDOMINAL REPAIR OF DIAPHRAGMATIC HERNIA",1
"770","ANESTHESIA FOR ALL PROCEDURES ON MAJOR ABDOMINAL BLOOD VESSELS",1
"790","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; NOT OTHERWISE SPECIFIED",1
"792","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; PARTIAL HEPATECTOMY OR MANAGEMENT OF LIVER HEMORRHAGE (EXCLUDING LIVER BIOPSY)",1
"794","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; PANCREATECTOMY, PARTIAL OR TOTAL (EG, WHIPPLE PROCEDURE)",1
"796","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; LIVER TRANSPLANT (RECIPIENT)",1
"797","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; GASTRIC RESTRICTIVE PROCEDURE FOR MORBID OBESITY",1
"800","ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL; NOT OTHERWISE SPECIFIED",1
"802","ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL; PANNICULECTOMY",1
"811","ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM; NOT OTHERWISE SPECIFIED",1
"812","ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM; SCREENING COLONOSCOPY",1
"813","ANESTHESIA FOR COMBINED UPPER AND LOWER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED BOTH PROXIMAL TO AND DISTAL TO THE DUODENUM",1
"820","ANESTHESIA FOR PROCEDURES ON LOWER POSTERIOR ABDOMINAL WALL",1
"830","ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN; NOT OTHERWISE SPECIFIED",1
"832","ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN; VENTRAL AND INCISIONAL HERNIAS",1
"834","ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, YOUNGER THAN 1 YEAR OF AGE",1
"836","ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, INFANTS YOUNGER THAN 37 WEEKS GESTATIONAL AGE AT BIRTH AND YOUNGER THAN 50 WEEKS GESTATIONAL AGE AT TIME OF SURGERY",1
"840","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; NOT OTHERWISE SPECIFIED",1
"842","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; AMNIOCENTESIS",1
"844","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; ABDOMINOPERINEAL RESECTION",1
"846","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; RADICAL HYSTERECTOMY",1
"848","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; PELVIC EXENTERATION",1
"851","ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; TUBAL LIGATION/TRANSECTION",1
"860","ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; NOT OTHERWISE SPECIFIED",1
"862","ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RENAL PROCEDURES, INCLUDING UPPER ONE-THIRD OF URETER, OR DONOR NEPHRECTOMY",1
"864","ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; TOTAL CYSTECTOMY",1
"865","ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",1
"866","ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; ADRENALECTOMY",1
"868","ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RENAL TRANSPLANT (RECIPIENT)",1
"870","ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; CYSTOLITHOTOMY",1
"872","ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE; WITH WATER BATH",1
"873","ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE; WITHOUT WATER BATH",1
