OWNER           OBJECT_NAME                              OBJECT_TYPE             CREATED
--------------- ---------------------------------------- ----------------------- ---------
MESSAGE         MSG_EBM_TYPE_CODE                        INDEX                   13-SEP-18
PARAMETERS      DIAG_D_LIST_DIAGNOSIS_ID_IDX             INDEX                   13-SEP-18
PARAMETERS      DIAGNOSIS_RULES_CODE_IDX                 INDEX                   13-SEP-18
PARAMETERS      PROC_DIAG_RUL_DIAG_RUL_ID_IDX            INDEX                   13-SEP-18
PARAMETERS      PROC_DIAG_RUL_PROC_ID_IDX                INDEX                   13-SEP-18
PARAMETERS      PROC_QTY_RULES_QTY_RUL_ID_IDX            INDEX                   13-SEP-18
PARAMETERS      PROC_QTY_RULES_PROC_ID_IDX               INDEX                   13-SEP-18
PARAMETERS      PROC_RULES_RULES_ID_IDX                  INDEX                   13-SEP-18
PARAMETERS      PROC_RULES_PROC_ID_IDX                   INDEX                   13-SEP-18
PARAMETERS      PROC_TIME_RUL_TIME_RUL_ID_IDX            INDEX                   13-SEP-18
PARAMETERS      PROC_TIME_RUL_PROC_ID_IDX                INDEX                   13-SEP-18
PARAMETERS      QUANTITY_RULES_CODE_IDX                  INDEX                   13-SEP-18
PARAMETERS      PROC_CUST_DESC_PROC_ID_IDX               INDEX                   13-SEP-18
PARAMETERS      PROC_PROCEDURE_TYPE_ID_IDX               INDEX                   13-SEP-18
PARAMETERS      DIAGNOSIS_D_LIST_CODE_IDX                INDEX                   13-SEP-18
PARAMETERS      APP_PROPERTIES_CODE_IDX                  INDEX                   13-SEP-18
PARAMETERS      TIME_RULES_CODE_IDX                      INDEX                   13-SEP-18
PARAMETERS      STATUS_CODE_IDX                          INDEX                   13-SEP-18
PARAMETERS      RULES_CODE_IDX                           INDEX                   13-SEP-18
PARAMETERS      RULES_CODE_RN_IDX                        INDEX                   13-SEP-18
PARAMETERS      SOURCE_OF_DECISION_CODE_IDX              INDEX                   13-SEP-18
TRANSACTIONAL   RFA_DIAG_PROC_RFA_PROC_ID_IDX            INDEX                   13-SEP-18
TRANSACTIONAL   RFA_CLAIM_ID_IDX                         INDEX                   13-SEP-18
TRANSACTIONAL   RFA_DIAGNOSIS_DIAGNOSIS_ID_IDX           INDEX                   13-SEP-18
TRANSACTIONAL   RFA_DIAGNOSIS_RFA_ID_IDX                 INDEX                   13-SEP-18
TRANSACTIONAL   RFA_SF_REQUEST_ID_IDX                    INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_PRC_ID_IDX                       INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_SF_PRC_ID_IDX                    INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_SRC_OF_DECISION_ID_IDX           INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_STA_ID_IDX                       INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_RFA_ID_IDX                       INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_STA_HIS_PRV_STA_ID_IDX           INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_STA_HIS_RFA_PRC_ID_IDX           INDEX                   13-SEP-18
TRANSACTIONAL   RFA_DIAG_PROC_STATUS_ID_IDX              INDEX                   13-SEP-18
TRANSACTIONAL   RFA_DIAG_PROC_RFA_DIAG_ID_IDX            INDEX                   13-SEP-18
TRANSACTIONAL   RFA_PRC_STA_HIS_NEW_STA_ID_IDX           INDEX                   13-SEP-18

36 rows selected.
