code,description,procedure_type_id
"A0021","Ambulance service, outside state per mile, transport (Medicaid only)",2
"A0080","Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",2
"A0090","Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",2
"A0100","Non-emergency transportation; taxi",2
"A0110","Non-emergency transportation and bus, intra or inter state carrier",2
"A0120","Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",2
"A0130","Non-emergency transportation: wheelchair van",2
"A0140","Non-emergency transportation and air travel (private or commercial) intra or inter state",2
"A0160","Non-emergency transportation: per mile - case worker or social worker",2
"A0170","Transportation ancillary: parking fees, tolls, other",2
"A0180","Non-emergency transportation: ancillary: lodging-recipient",2
"A0190","Non-emergency transportation: ancillary: meals-recipient",2
"A0200","Non-emergency transportation: ancillary: lodging escort",2
"A0210","Non-emergency transportation: ancillary: meals-escort",2
"A0225","Ambulance service, neonatal transport, base rate, emergency transport, one way",2
"A0380","BLS mileage (per mile)",2
"A0382","BLS routine disposable supplies",2
"A0384","BLS specialized service disposable supplies; defibrillation (used by ALS ambulances and BLS ambulances in jurisdictions where defibrillation is permitted in BLS ambulances)",2
"A0390","ALS mileage (per mile)",2
"A0392","ALS specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in BLS ambulances)",2
"A0394","ALS specialized service disposable supplies; IV drug therapy",2
"A0396","ALS specialized service disposable supplies; esophageal intubation",2
"A0398","ALS routine disposable supplies",2
"A0420","Ambulance waiting time (ALS or BLS), one half (1/2) hour increments",2
"A0422","Ambulance (ALS or BLS) oxygen and oxygen supplies, life sustaining situation",2
"A0424","Extra ambulance attendant, ground (ALS or BLS) or air (fixed or rotary winged); (requires medical review)",2
"A0425","Ground mileage, per statute mile",2
"A0426","Ambulance service, advanced life support, non-emergency transport, level 1 (ALS 1)",2
"A0427","Ambulance service, advanced life support, emergency transport, level 1 (ALS 1 - emergency)",2
"A0428","Ambulance service, basic life support, non-emergency transport, (BLS)",2
"A0429","Ambulance service, basic life support, emergency transport (BLS-emergency)",2
"A0430","Ambulance service, conventional air services, transport, one way (fixed wing)",2
"A0431","Ambulance service, conventional air services, transport, one way (rotary wing)",2
"A0432","Paramedic intercept (PI), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",2
"A0433","Advanced life support, level 2 (ALS 2)",2
"A0434","Specialty care transport (SCT)",2
"A0435","Fixed wing air mileage, per statute mile",2
"A0436","Rotary wing air mileage, per statute mile",2
"A0888","Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)",2
"A0998","Ambulance response and treatment, no transport",2
"A0999","Unlisted ambulance service",2
"A4206","Syringe with needle, sterile, 1 cc or less, each",2
"A4207","Syringe with needle, sterile 2 cc, each",2
"A4208","Syringe with needle, sterile 3 cc, each",2
"A4209","Syringe with needle, sterile 5 cc or greater, each",2
"A4210","Needle-free injection device, each",2
"A4211","Supplies for self-administered injections",2
"A4212","Non-coring needle or stylet with or without catheter",2
"A4213","Syringe, sterile, 20 cc or greater, each",2
"A4215","Needle, sterile, any size, each",2
"A4216","Sterile water, saline and/or dextrose, diluent/flush, 10 ml",2
"A4217","Sterile water/saline, 500 ml",2
"A4218","Sterile saline or water, metered dose dispenser, 10 ml",2
"A4220","Refill kit for implantable infusion pump",2
"A4221","Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs separately)",2
"A4222","Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",2
"A4223","Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)",2
"A4224","Supplies for maintenance of insulin infusion catheter, per week",2
"A4225","Supplies for external insulin infusion pump, syringe type cartridge, sterile, each",2
"A4230","Infusion set for external insulin pump, non needle cannula type",2
"A4231","Infusion set for external insulin pump, needle type",2
"A4232","Syringe with needle for external insulin pump, sterile, 3 cc",2
"A4233","Replacement battery, alkaline (other than J cell), for use with medically necessary home blood glucose monitor owned by patient, each",2
"A4234","Replacement battery, alkaline, J cell, for use with medically necessary home blood glucose monitor owned by patient, each",2
"A4235","Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",2
"A4236","Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each",2
"A4244","Alcohol or peroxide, per pint",2
"A4245","Alcohol wipes, per box",2
"A4246","Betadine or pHisoHex solution, per pint",2
"A4247","Betadine or iodine swabs/wipes, per box",2
"A4248","Chlorhexidine containing antiseptic, 1 ml",2
"A4250","Urine test or reagent strips or tablets (100 tablets or strips)",2
"A4252","Blood ketone test or reagent strip, each",2
"A4253","Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",2
"A4255","Platforms for home blood glucose monitor, 50 per box",2
"A4256","Normal, low and high calibrator solution / chips",2
"A4257","Replacement lens shield cartridge for use with laser skin piercing device, each",2
"A4258","Spring-powered device for lancet, each",2
"A4259","Lancets, per box of 100",2
"A4261","Cervical cap for contraceptive use",2
"A4262","Temporary, absorbable lacrimal duct implant, each",2
"A4263","Permanent, long term, non-dissolvable lacrimal duct implant, each",2
"A4264","Permanent implantable contraceptive intratubal occlusion device(s) and delivery system",2
"A4265","Paraffin, per pound",2
"A4266","Diaphragm for contraceptive use",2
"A4267","Contraceptive supply, condom, male, each",2
"A4268","Contraceptive supply, condom, female, each",2
"A4269","Contraceptive supply, spermicide (e.g., foam, gel), each",2
"A4270","Disposable endoscope sheath, each",2
"A4280","Adhesive skin support attachment for use with external breast prosthesis, each",2
"A4281","Tubing for breast pump, replacement",2
"A4282","Adapter for breast pump, replacement",2
"A4283","Cap for breast pump bottle, replacement",2
"A4284","Breast shield and splash protector for use with breast pump, replacement",2
"A4285","Polycarbonate bottle for use with breast pump, replacement",2
"A4286","Locking ring for breast pump, replacement",2
"A4290","Sacral nerve stimulation test lead, each",2
"A4300","Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access",2
"A4301","Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)",2
"A4305","Disposable drug delivery system, flow rate of 50 ml or greater per hour",2
"A4306","Disposable drug delivery system, flow rate of less than 50 ml per hour",2
"A4310","Insertion tray without drainage bag and without catheter (accessories only)",2
"A4311","Insertion tray without drainage bag with indwelling catheter, Foley type, two-way latex with coating (Teflon, silicone, silicone elastomer or hydrophilic, etc.)",2
"A4312","Insertion tray without drainage bag with indwelling catheter, Foley type, two-way, all silicone",2
"A4313","Insertion tray without drainage bag with indwelling catheter, Foley type, three-way, for continuous irrigation",2
"A4314","Insertion tray with drainage bag with indwelling catheter, Foley type, two-way latex with coating (Teflon, silicone, silicone elastomer or hydrophilic, etc.)",2
"A4315","Insertion tray with drainage bag with indwelling catheter, Foley type, two-way, all silicone",2
"A4316","Insertion tray with drainage bag with indwelling catheter, Foley type, three-way, for continuous irrigation",2
"A4320","Irrigation tray with bulb or piston syringe, any purpose",2
"A4321","Therapeutic agent for urinary catheter irrigation",2
"A4322","Irrigation syringe, bulb or piston, each",2
"A4326","Male external catheter with integral collection chamber, any type, each",2
"A4327","Female external urinary collection device; metal cup, each",2
"A4328","Female external urinary collection device; pouch, each",2
"A4330","Perianal fecal collection pouch with adhesive, each",2
"A4331","Extension drainage tubing, any type, any length, with connector/adapter, for use with urinary leg bag or urostomy pouch, each",2
"A4332","Lubricant, individual sterile packet, each",2
"A4333","Urinary catheter anchoring device, adhesive skin attachment, each",2
"A4334","Urinary catheter anchoring device, leg strap, each",2
"A4335","Incontinence supply; miscellaneous",2
"A4336","Incontinence supply, urethral insert, any type, each",2
"A4337","Incontinence supply, rectal insert, any type, each",2
"A4338","Indwelling catheter; Foley type, two-way latex with coating (Teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",2
"A4340","Indwelling catheter; specialty type, (e.g., Coude, mushroom, wing, etc.), each",2
"A4344","Indwelling catheter, Foley type, two-way, all silicone, each",2
"A4346","Indwelling catheter; Foley type, three way for continuous irrigation, each",2
"A4349","Male external catheter, with or without adhesive, disposable, each",2
"A4351","Intermittent urinary catheter; straight tip, with or without coating (Teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",2
"A4352","Intermittent urinary catheter; Coude (curved) tip, with or without coating (Teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each",2
"A4353","Intermittent urinary catheter, with insertion supplies",2
"A4354","Insertion tray with drainage bag but without catheter",2
"A4355","Irrigation tubing set for continuous bladder irrigation through a three-way indwelling Foley catheter, each",2
"A4356","External urethral clamp or compression device (not to be used for catheter clamp), each",2
"A4357","Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",2
"A4358","Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",2
"A4360","Disposable external urethral clamp or compression device, with pad and/or pouch, each",2
"A4361","Ostomy faceplate, each",2
"A4362","Skin barrier; solid, 4 x 4 or equivalent; each",2
"A4363","Ostomy clamp, any type, replacement only, each",2
"A4364","Adhesive, liquid or equal, any type, per ounce",2
"A4366","Ostomy vent, any type, each",2
"A4367","Ostomy belt, each",2
"A4368","Ostomy filter, any type, each",2
"A4369","Ostomy skin barrier, liquid (spray, brush, etc.), per ounce",2
"A4371","Ostomy skin barrier, powder, per ounce",2
"A4372","Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in convexity, each",2
"A4373","Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in convexity, any size, each",2
"A4375","Ostomy pouch, drainable, with faceplate attached, plastic, each",2
"A4376","Ostomy pouch, drainable, with faceplate attached, rubber, each",2
"A4377","Ostomy pouch, drainable, for use on faceplate, plastic, each",2
"A4378","Ostomy pouch, drainable, for use on faceplate, rubber, each",2
"A4379","Ostomy pouch, urinary, with faceplate attached, plastic, each",2
"A4380","Ostomy pouch, urinary, with faceplate attached, rubber, each",2
"A4381","Ostomy pouch, urinary, for use on faceplate, plastic, each",2
"A4382","Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",2
"A4383","Ostomy pouch, urinary, for use on faceplate, rubber, each",2
"A4384","Ostomy faceplate equivalent, silicone ring, each",2
"A4385","Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in convexity, each",2
"A4387","Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each",2
"A4388","Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",2
"A4389","Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each",2
"A4390","Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each",2
"A4391","Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",2
"A4392","Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each",2
"A4393","Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each",2
"A4394","Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid ounce",2
"A4395","Ostomy deodorant for use in ostomy pouch, solid, per tablet",2
"A4396","Ostomy belt with peristomal hernia support",2
"A4397","Irrigation supply; sleeve, each",2
"A4398","Ostomy irrigation supply; bag, each",2
"A4399","Ostomy irrigation supply; cone/catheter, with or without brush",2
"A4400","Ostomy irrigation set",2
"A4402","Lubricant, per ounce",2
"A4404","Ostomy ring, each",2
"A4405","Ostomy skin barrier, non-pectin based, paste, per ounce",2
